,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
89,"Jugaste y Sufrí","Eslabon Armado",303671,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
90,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",299435,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
91,"love nwantiti (ah ah ah)",CKay,299124,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
92,Toxic,BoyWithUke,297921,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
93,"Martin & Gina","Polo G",294665,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
94,"Take My Breath","The Weeknd",291869,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
95,"thought it was","iann dior",291264,https://open.spotify.com/track/3x1h0lsx1i2v9cUWnZssBa
96,"Die For You","The Weeknd",290649,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
97,"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd",288677,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
98,"Tell Em",Cochise,288202,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
99,"NEW MAGIC WAND","Tyler, The Creator",287746,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
100,"Money Trees","Kendrick Lamar",283919,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
101,"SLOW DANCING IN THE DARK",Joji,283799,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
102,"Bad Man (Smooth Criminal)","Polo G",282293,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
103,"Already Dead","Juice WRLD",281716,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
104,"Fair Trade (with Travis Scott)",Drake,281526,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
105,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",280170,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
106,"Praise God","Kanye West",279250,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
107,"Man in the Mirror","A Boogie Wit da Hoodie",279008,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
108,"Buy Dirt","Jordan Davis",276659,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
109,"Work Out","J. Cole",276368,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
110,"Big Energy",Latto,275830,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
111,"Mr. Brightside","The Killers",275711,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
112,Beggin',Måneskin,272050,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
113,"My Universe",Coldplay,271571,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
114,Notion,"The Rare Occasions",270710,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
115,"Best Friends","The Weeknd",268882,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
116,Streets,"Doja Cat",268778,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
117,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",268544,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
118,"Star Shopping","Lil Peep",267572,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
119,"Looking Out for You","Joy Again",266398,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
120,"Fancy Like","Walker Hayes",265948,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
121,"Love & War","Kodak Black",264921,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
122,"Me or Sum (feat. Future & Lil Baby)","Nardo Wick",263193,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
123,"25k jacket (feat. Lil Baby)",Gunna,261515,https://open.spotify.com/track/0boodYr1uIpSVmGSP65Fmk
124,"For Tonight",Giveon,261513,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
125,"Ain't Shit","Doja Cat",260341,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
126,"No Love (with SZA)","Summer Walker",260214,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
127,Dandelions,"Ruth B.",260050,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
128,Yonaguni,"Bad Bunny",259641,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
129,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",259269,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
130,"we fell in love in october","girl in red",257527,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
131,Circles,"Post Malone",256560,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
132,"Save Your Tears","The Weeknd",255658,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
133,"XO Tour Llif3","Lil Uzi Vert",255423,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
134,"Leave The Door Open","Bruno Mars",254829,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
135,Redbone,"Childish Gambino",254551,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
136,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",254432,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
137,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,253364,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
138,Burn,"Juice WRLD",253141,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
139,"Jocelyn Flores",XXXTENTACION,250965,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
140,Heather,"Conan Gray",250744,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
141,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",249848,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
142,telepatía,"Kali Uchis",249612,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
143,"Love Sosa","Chief Keef",247451,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
144,Heartless,"Kanye West",245980,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
145,"It'll Be Okay","Shawn Mendes",245957,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
146,"favorite crime","Olivia Rodrigo",245639,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
