Position,Track_Name,Artist,Streams,URL
88,TE DESEO LO MEJOR,Bad Bunny,146125,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
89,La Curiosidad,Jay Wheeler,145858,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
90,T√∫,Carin Leon,145466,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
91,Blinding Lights,The Weeknd,145047,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
92,Ella,Junior H,144681,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
93,Descansando,Fuerza Regida,142641,https://open.spotify.com/track/6W8zkOCzjmRkc1E3JR3mBF
94,Buenos Dias,Wisin,142020,https://open.spotify.com/track/2MxHuZWC99rsELX9SrCW7K
95,A M√≠,Rels B,141289,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa
96,Enemy - From the series Arcane League of Legends,Imagine Dragons,140942,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
97,Me Met√≠ En El Ruedo,Luis R Conriquez,140874,https://open.spotify.com/track/7KNSQcLwrl3bNEuV1OVHtv
98,HACIENDO QUE ME AMAS,Bad Bunny,140862,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
99,Callaita,Bad Bunny,140499,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
100,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,140414,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
101,Porte Exuberante,Natanael Cano,139156,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
102,SEJODIOTO,KAROL G,138958,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
103,…xtasis,Millonario & W. Corona,138916,https://open.spotify.com/track/4xbMF8jx0msGGgrtJaAuXE
104,Saturno,Pablo Albor√°n,137927,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
105,Se Me Olvido,Gera MX,137821,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
106,Toxic,BoyWithUke,137740,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
107,Gracias - En Vivo,Grupo Firme,136637,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
108,2/Catorce,Rauw Alejandro,135968,https://open.spotify.com/track/78QcVmzxS0wIwuC2rpAauI
109,Es Que Me Gustas - En Vivo,Los 2 de la S,135819,https://open.spotify.com/track/6nyl8kugrRsjzvpFhvw4hE
110,Ramito De Violetas,Mi Banda El Mexicano,135319,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
111,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,134930,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
112,V√°monos a Marte,Kevin Kaarl,134279,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
113,La Casita,Banda MS de Sergio Liz√°rraga,134185,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
114,Grandes Ligas,Lupillo Rivera,132965,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
115,Todas Mueren por MÌ,Cartel De Santa,131457,https://open.spotify.com/track/3p2KYoBgxUaaoJzXUToM8a
116,Ella - Remix,Boza,130789,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
117,Colapso,Kevin Kaarl,129847,https://open.spotify.com/track/7dT9D6117e5DbhnKxDLNW9
118,Devuelveme a mi chica,Hombres G,126580,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
119,Hablando Claro (En Vivo),Grupo Firme,126567,https://open.spotify.com/track/5hRFjooNvZWb9gdnXjrv2j
120,ANTES QUE SE ACABE,Bad Bunny,126149,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
121,Me DediquÈ a Perderte,Alejandro Fern·ndez,125727,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
122,H√≠brido,Virlan Garcia,125412,https://open.spotify.com/track/5iBBLeUl4UfynWgcJWVGsU
123,Ahora Te Puedes Marchar,Luis Miguel,124947,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
124,S√∫belo,Anuel AA,124690,https://open.spotify.com/track/3xv8JksRyqHa1lwkM9xvJf
125,Kiss Me More (feat. SZA),Doja Cat,123618,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
126,Otra Noche en Miami,Bad Bunny,121734,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
127,Los Mire Con Talento,Fuerza Regida,121666,https://open.spotify.com/track/1trAoZKkvVjuuQpUzTI6KV
128,Me Acostumbre A Lo Bueno,Fuerza Regida,121275,https://open.spotify.com/track/1hHnCReCPe1FUkGLTeuCaC
129,La Barda,Grupo 360,121193,https://open.spotify.com/track/0pi1spZ3Upm2gXb1OVDq5y
130,Locos,Le√≥n Larregui,120660,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
131,Save Your Tears,The Weeknd,119929,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
132,Cabron y Vago - En Vivo,El Fantasma,119107,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
133,23 (With Ape Drums),Randy,118838,https://open.spotify.com/track/4vv8wcnT04GHHbUCFBAiHF
134,El Fat Tony,Grupo Los de la O,118819,https://open.spotify.com/track/3viZLBs5sOsNFL9JMfuqZN
135,Nadie Va A Pensar En Ti Mejor Que Yo,Conjunto Rienda Real,118240,https://open.spotify.com/track/30eHHpkjMNqb2F0V8nXjbJ
