,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
116,EARFQUAKE,"Tyler, The Creator",908104,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
117,"Contra La Pared","Sean Paul",907604,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
118,"Let Me Down Slowly","Alec Benjamin",903717,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
119,"Que Mas Pues - Remix",Sech,903180,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
120,Rodeo,"Lil Nas X",898886,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
121,"SICKO MODE","Travis Scott",894229,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
122,"Jodeci Freestyle (feat. J. Cole)",Drake,888057,https://open.spotify.com/track/2xUHiyGeGrWmmfv7NbDTWC
123,"MIDDLE CHILD","J. Cole",886601,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
124,"Si Se Da","Myke Towers",883376,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
125,"Find U Again (feat. Camila Cabello)","Mark Ronson",879629,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
126,"Here With Me",Marshmello,873397,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
127,Better,Khalid,871774,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
128,Youngblood,"5 Seconds of Summer",863235,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
129,"MIA (feat. Drake)","Bad Bunny",861167,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
130,"Hot Shower","Chance the Rapper",858825,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
131,"In My Mind",Dynoro,855111,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
132,"Gold Roses (feat. Drake)","Rick Ross",849260,https://open.spotify.com/track/4aPB8rSxGFISs0o6V2LrTy
133,comethru,"Jeremy Zucker",849160,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
