,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"deja vu","Olivia Rodrigo",1118875,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
74,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",1114722,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
75,"Down Under (feat. Colin Hay)",Luude,1109749,https://open.spotify.com/track/53O5nAlq04RKmSBqW0SFvG
76,"Meet Me At Our Spot","THE ANXIETY",1107667,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
77,505,"Arctic Monkeys",1104739,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
78,"Someone You Loved","Lewis Capaldi",1101815,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
79,Notion,"The Rare Occasions",1099648,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
80,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1099395,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
81,"Another Love","Tom Odell",1098466,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
82,"You Right","Doja Cat",1097807,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
83,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1091584,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
84,Nostálgico,Rvssian,1086395,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
85,High,"The Chainsmokers",1077820,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
86,"What Else Can I Do?","Diane Guerrero",1076390,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
87,"Every Summertime",NIKI,1072021,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
88,"Volando - Remix",Mora,1070926,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
89,Butter,BTS,1057801,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
90,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,1053176,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
91,"Smokin Out The Window","Bruno Mars",1050444,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
92,Believer,"Imagine Dragons",1047245,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
93,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,1045387,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
94,212,"Chefin Oficial",1040943,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
95,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1030183,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
96,Dynamite,BTS,1024953,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
97,"Don't Start Now","Dua Lipa",1021794,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
98,Freaks,"Surf Curse",1020191,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
99,"The Real Slim Shady",Eminem,1017796,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
100,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,1011369,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
101,"lovely (with Khalid)","Billie Eilish",1009566,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
102,"Daddy Issues","The Neighbourhood",1005399,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
103,"Dos Oruguitas","Sebastian Yatra",1003510,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
104,Mujeriego,"Ryan Castro",988074,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
105,"I AM WOMAN","Emmy Meli",984769,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
106,Swim,"Chase Atlantic",979129,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
107,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,959770,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
108,"Out of Time","The Weeknd",957799,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
109,"Alien Blues",Vundabar,948905,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
110,"Don't Be Shy",Tiësto,939492,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
111,"Leave The Door Open","Bruno Mars",937372,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
112,"Mood (feat. iann dior)",24kGoldn,930046,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
113,"Get Into It (Yuh)","Doja Cat",927280,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
114,Yellow,Coldplay,926578,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
115,"Hrs and Hrs","Muni Long",914116,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
116,"Is There Someone Else?","The Weeknd",913995,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
117,Heather,"Conan Gray",911795,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
118,Thunder,"Gabry Ponte",911337,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
119,"Boys Don't Cry",Anitta,906235,https://open.spotify.com/track/35COLcFjvONwVv6jkG23gI
120,"No Role Modelz","J. Cole",904905,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
