Position,Fecha,Track_Name,Artist,Sexo,Streams,URL
188,20/01/2022,Happier Than Ever - Edit,Billie Eilish,2,777225,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
189,20/01/2022,Leave Before You Love Me (with Jonas Brothers),Marshmello,1,774381,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
190,20/01/2022,212,Chefin Oficial,1,773340,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
191,19/01/2022,"Here We Go... Again (feat. Tyler, the Creator)",The Weeknd,1,772947,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
192,20/01/2022,Quien M�s Pues?,J Balvin,1,772235,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
193,20/01/2022,Ella - Remix,Boza,1,767529,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
194,20/01/2022,Fair Trade (with Travis Scott),Drake,1,766099,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
195,20/01/2022,Se�orita,Shawn Mendes,1,765975,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
196,20/01/2022,Christmas Tree,V,1,765406,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
197,20/01/2022,Adore You,Harry Styles,1,764023,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
198,19/01/2022,The Hills,The Weeknd,1,763962,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
199,20/01/2022,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1,763197,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
200,20/01/2022,Do I Wanna Know?,Arctic Monkeys,1,762281,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
