,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
111,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,874166,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
112,Heather,"Conan Gray",872258,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
113,"Leave The Door Open","Bruno Mars",871498,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
114,"Salimo de Noche","Tiago PZK",868037,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
115,Mujeriego,"Ryan Castro",866262,https://open.spotify.com/track/78kygHp1dvW1kncYjBgbe1
116,"Alien Blues",Vundabar,864036,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
117,"Hrs and Hrs","Muni Long",863065,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
118,"A Tu Merced","Bad Bunny",861179,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
119,Yellow,Coldplay,852208,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
120,"Is There Someone Else?","The Weeknd",851557,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
121,"AM Remix","Nio Garcia",845614,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
122,Perfect,"Ed Sheeran",845378,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
123,"Esqueça-Me Se For Capaz","Marília Mendonça",834060,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
124,"Life Goes On","Oliver Tree",833275,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
125,"Toma Toma Vapo Vapo","Zé Felipe",829023,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
126,Thunder,"Gabry Ponte",828794,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
127,"Get Into It (Yuh)","Doja Cat",826628,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
128,"Talking to the Moon","Bruno Mars",822527,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
129,"Don't Be Shy",Tiësto,822522,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
130,"Locked out of Heaven","Bruno Mars",819776,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
131,Sobrio,Maluma,819430,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
132,"Counting Stars",OneRepublic,818800,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
133,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",818327,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
134,"Se Le Ve","Dímelo Flow",814193,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
135,"Dance Monkey","Tones And I",812214,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
136,"Waiting On A Miracle","Stephanie Beatriz",810889,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
137,"Rolling in the Deep",Adele,807139,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
138,"Polaroid Love",ENHYPEN,802324,https://open.spotify.com/track/5elW2CKSoqjYoJ32AGDxf1
139,"LA CANCIÓN","J Balvin",801171,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
140,"Shape of You","Ed Sheeran",800859,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,"No Lie","Sean Paul",799719,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
142,happier,"Olivia Rodrigo",797469,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
143,"Blank Space","Taylor Swift",795818,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
144,positions,"Ariana Grande",792096,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
